yr,wk,pk_1,pk_2,pk_3,pk_4,pk_5,pk_6,pk_7,pk_8,pk_9,pk_10,pk_11,pk_12,pk_13,pk_14,pk_15,pk_16,pk_17,pk_18,pk_19,pk_20,pk_22,pk_23,pk_24,pk_25,pk_26,pk_27,pk_28,pk_30,pk_31,n,yrwk
2016,1,23.25224335858282,,,22.08887875902813,,,,,,24.60731959441626,24.94743953960824,22.00442128142008,,,22.60620401198116,,,25.76827626724859,,,24.31509124572234,,,24.40760273014494,,,,,,1,1601
2016,2,24.16956451507462,,,22.98205869316225,,,,,,24.15820727022248,,23.27128344554081,,25.21077362363743,24.39274805374341,,,25.26024501223064,,,25.82686978263808,,,24.70489498852871,,,,,,1,1602
2016,3,23.15087740054061,,,23.48870731097281,,,,,,25.25753257316734,,25.41417933680174,,25.73397686953755,24.21994338328071,,,26.32090802990264,,,25.33007120949733,,,25.25928253385334,,,,,,1,1603
2016,4,24.52818395845649,,,23.49729580223731,,,,,,25.59143888753513,25.72704702522099,24.87838859088254,,26.12984422612092,24.37470828873978,,,25.47952720129882,,,26.00867930065394,,,24.87394119079626,,,,,,1,1604
2016,5,25.97667862180986,,,23.31892612521714,,,,,,25.85158310217655,25.75632202533736,27.17488949850183,,26.35779245157305,,,,25.60577474968124,,,26.23936051576652,,,25.16190294057096,,,,,,1,1605
2016,6,26.15166781504623,,,24.38404865324241,,,,,,26.17469191256194,26.25060982013022,27.68783146902263,,26.35779245157305,,,,26.72866871605418,,,,,,27.12217138393867,,,,,,1,1606
2016,7,27.04412668814159,,,24.14532370139249,,,,,,24.66497676622295,26.60078034899172,26.35268651091658,,26.43026252624177,26.19426585955584,,,26.60078034899172,,,26.72423415872316,,,27.7423183615442,,,,,,1,1607
2016,8,25.69338193507236,,,24.14532370139249,,,,,,26.65031131979636,26.60078034899172,27.41957529964629,,26.87787181096038,27.30721132895579,,,26.60078034899172,,,26.90507002300313,,,26.84700578074774,,,,,,1,1608
2016,9,25.82714010670452,,,23.93757957806147,,,,,,26.92725293505285,26.94466059209077,26.48026818458793,,27.52938343191914,27.20141599586901,,,26.63776011778086,,,26.45000437491396,,,27.27828623643729,,,,,,1,1609
2016,10,26.20317446195128,,,24.56505703534357,,,,,,26.79671335428128,27.62069150300345,26.63180925092445,,27.01694282275137,25.70894586452133,,,26.48732494940062,,,26.90187028847395,,,27.25518746845465,,,,,,1,1610
2016,11,27.89341966879089,,,26.44260028122728,,,,,,26.82836292135567,26.20808540635143,27.56441757381942,,27.77602767221018,27.17871321064277,,,26.63761912737698,,,26.70548722103598,,,27.10540122229901,,,,,,1,1611
2016,12,27.51767109281845,,,25.12398643429188,,,,,,27.48115846399028,26.81238675483901,26.95830036232487,,27.684405817361,26.46518786343152,,,27.19981836284921,,,27.1815228950043,,,27.37177761807695,,,,,,1,1612
2016,13,28.01303087094384,,,27.60031023713642,,,,,,28.19078086398918,27.94652000666442,28.42420252854537,,27.96075279823637,27.86945411712234,,,27.4734204206094,,,27.95479603583467,,,28.75462421023071,,,,,,1,1613
2016,14,27.41818041348268,,,26.24470894944665,,,,,,28.09215070856546,28.90176480445967,28.11186615705004,,27.62470983164643,28.6481360303349,,,28.15236888585785,,,28.16846779233275,,,28.52680641775134,,,,,,1,1614
2016,15,27.56984861773034,,,27.46372723460423,,,,,,27.56990200886782,29.33431892926508,28.89706530075299,,25.85294980969286,27.67626554760859,,,28.26946472685121,,,28.49648700650187,,,28.30504458086982,,,,,,1,1615
2016,16,27.4904130585785,,,27.53981240658669,,,,,,28.51506025459605,28.75032084298944,28.46219576615024,,28.35632928725762,27.58473311144022,,,28.16094617209448,,,28.12473516383198,,,28.359602140483,,,,,,1,1616
2016,17,26.61675492847857,,,28.36170232162176,,,,,,29.0255366247465,29.60879208883716,29.11092426737735,,28.63321587696531,28.5188372022854,,,28.50253659646816,,,27.24758357966552,,,28.7773236636356,,,,,,1,1617
2016,18,26.78348237244803,,,29.97596315594477,,,,,,28.80971650757154,30.55449569220967,28.24395319952925,,29.34049276917888,28.6417186302472,,,27.21628955404969,,,29.28229876481051,,,29.48303150019109,,,,,,1,1618
2016,19,27.92974312659688,,,29.20638222707761,,,,,,29.78937132922082,30.21446056218934,28.53463425266429,,29.19639271842484,29.68989424620293,,,25.34394124189349,,,28.13783270927873,,,30.52894309213494,,,,,,1,1619
2016,20,27.7039193362758,,,29.22578413716342,,,,,,29.006795015222,30.20094622450845,27.66014165799995,,30.19020405865954,29.11238814081294,,,26.45588921785787,,,28.52616961776336,,,29.09303963218374,,,,,,1,1620
2016,21,26.97422905402508,,,29.11634039256684,,,,,,29.68225421589658,31.0122862843328,28.81757026627702,,30.48641328445618,28.94764201939509,,,28.97769159128239,,,30.25952620445134,,,28.96460312466578,,,,,,1,1621
2016,22,26.10479453772682,,,29.03118931176829,,,,,,31.54523716091128,30.31672202978535,29.37103207981046,,28.81145485007401,29.03940941140474,,,28.82330258094822,,,30.45442285007742,,,28.88694894069765,,,,,,1,1622
2016,23,29.36512078140941,,,29.56547834255895,,,,,,30.95071708668704,31.33793207073237,29.89702386070609,,29.05484585692233,29.28472408740649,,,29.92971794044731,,,31.05512132003336,,,30.75507010449459,,,,,,1,1623
2016,24,28.83549088159191,,,29.76680339957578,,,,,,30.69903673812799,31.54768686385793,29.60228404242671,,29.92232088923138,29.54779500279137,,,31.09686865441877,,,31.19149607306289,,,31.25454081860661,,,,,,1,1624
