"","province","year","piglet","hog","pork"
"164","pl_4",2018,9,0,3
"165","pl_4",2019,12,0,0
"166","pl_4",2020,2,2,2
"167","pl_4",2021,0,0,0
"168","pl_4",2022,0,0,0
"169","pl_5",2016,21,0,32
"170","pl_5",2017,6,0,10
"171","pl_5",2018,0,0,0
"172","pl_5",2019,0,0,0
"173","pl_5",2020,2,0,0
"174","pl_5",2021,0,0,0
"175","pl_5",2022,0,0,0
"176","pl_6",2016,4,0,12
"177","pl_6",2017,1,0,1
"178","pl_6",2018,0,0,0
"179","pl_6",2019,0,0,0
"180","pl_6",2020,0,0,0
"181","pl_6",2021,0,0,0
"182","pl_6",2022,0,0,0
"183","pl_7",2016,16,0,34
"184","pl_7",2017,4,0,6
"185","pl_7",2018,0,0,0
"186","pl_7",2019,1,0,0
"187","pl_7",2020,2,0,4
"188","pl_7",2021,0,0,0
"189","pl_7",2022,0,0,0
"190","pl_8",2016,44,2,45
"191","pl_8",2017,8,1,13
"192","pl_8",2018,1,3,3
"193","pl_8",2019,1,0,0
"194","pl_8",2020,15,4,26
"195","pl_8",2021,1,0,0
"196","pl_8",2022,9,0,0
"197","pl_9",2016,51,4,52
"198","pl_9",2017,36,1,45
"199","pl_9",2018,19,1,22
"200","pl_9",2019,21,8,5
"201","pl_9",2020,27,14,22
"202","pl_9",2021,9,0,0
"203","pl_9",2022,32,0,0
