yr,wk,pl_1,pl_2,pl_3,pl_4,pl_5,pl_6,pl_7,pl_8,pl_9,pl_10,pl_11,pl_12,pl_13,pl_14,pl_15,pl_16,pl_17,pl_18,pl_19,pl_22,pl_23,pl_24,pl_25,pl_26,pl_27,pl_28,pl_30,pl_31,n,yrwk
2016,1,31.54309385080317,,,32.72474606737847,,32.47512042538025,,,,33.5603729872028,28.4453940440294,34.13195291510342,33.88982614309975,28.87448421193309,26.11733200721602,32.93761420182458,34.0570682192315,36.06791471092897,,27.16292726724111,,35.16895990653106,34.73783453806067,26.84728935825122,,,,30.95561456206389,1,1601
2016,2,31.56265299185998,,,34.77926866119735,,33.85393944931758,,,,35.68915234997277,29.8372101225268,37.13562405748011,37.60554266712077,31.31217155178012,28.46830544107473,37.17751079762678,35.11240682920649,39.6668999758144,,28.60140201619133,,39.45391364226933,35.51608299053903,33.14775531420168,,,,34.73923622721858,1,1602
2016,3,32.72480405520617,,,34.66261928180123,,41.55650059379128,,,,35.03778785339622,32.86154674406264,33.40394955863201,38.41728846918697,32.82944996513758,30.457742183741,43.16222033275706,36.97443184543425,44.76168439976055,,35.51833955749085,,43.42139801016261,36.09913459778928,32.97269424706197,,,,39.7969347596071,1,1603
2016,4,38.53002628045697,,,34.65177902533462,,40.71321528545258,,,,38.17525686812215,37.34944092061242,38.31818915705568,39.72327009100221,37.13726177868558,29.66262110999947,42.00151987018338,43.04178803834657,44.78306218872545,,39.54445535819102,,42.7208402486466,37.42076556825801,34.2705550897773,,,,37.42771063282087,1,1604
2016,5,40.10632830045295,,,35.39170490242042,,41.57617846421516,,,,38.81515184651639,39.76909564966537,37.25176311500761,42.26462549780654,37.900793640978,31.32867118110525,39.63052313616109,44.11366807860193,45.79472119191976,,38.71143032263812,,42.45684617944439,40.91730650176332,36.06983966768357,,,,38.10176901907429,1,1605
2016,6,43.08213990740623,,,,,,,,,39.15799701266907,38.19494098309598,39.41803669236273,,37.3847309939398,,,45.57088812992331,46.73062793721622,,35.57380711058892,,,45.23338340903594,,,,,,1,1606
2016,7,42.30026155745559,,,42.56449651691533,,40.54111829080145,,,,48.66091467504201,39.27296537546932,43.11969442789284,50.07458578547768,41.03218596094973,29.14433787167843,47.07558611724677,44.0390696888863,50.86489892852155,,38.40223766255234,,46.35953306014181,45.38745229029838,39.00466015236286,,,,37.66170311803828,1,1607
2016,8,45.05074406166524,,,44.51733158221828,,40.27345943562053,,,,40.27630973353747,47.10097961365871,42.58682623179924,45.70693961109259,37.75514719268281,29.82925112639072,45.15311946418595,40.7240408167009,48.03303261940184,,42.56124855838675,,,40.17107348900699,37.08504284473846,,,,,1,1608
2016,9,43.33776015464036,,,45.51089383571711,,42.27171421641541,,,,41.59933433452625,47.79880430347986,43.86221736870487,46.82727430271912,40.73915567964935,33.40717767524477,46.35559197552364,39.44334822349984,49.19557752207505,,42.88673111908749,,51.30372244049607,42.35435360011682,38.60035838951871,,,,54.42613237132556,1,1609
2016,10,46.99970182727004,,,49.30635838552681,,50.71074429650331,,,,45.09266458881683,48.75592402827476,49.46786559116906,50.88827071706247,42.67549264378153,49.64300254760791,50.58695408248424,42.35082810518756,53.75762685088688,,46.04291009489746,,53.69342586340572,45.10396748317194,46.5385824807837,,,,54.46519646423739,1,1610
2016,11,55.04020964563077,,,50.77987164805725,,54.15026258409423,,,,52.40220852887761,51.63275759665346,54.10253599009611,52.74961190207397,56.28319019353552,54.47815565069833,50.39135507395833,51.6251044805505,55.16065720786688,,55.58966246121368,,59.25649238181245,54.75968105145133,52.46409584385916,,,,58.89370584937925,1,1611
2016,12,56.90781388273634,,,50.77207780798156,,52.47360710126378,,,,55.33999488348944,55.77691050995507,51.18491818891479,52.2358256661484,54.52066122491207,47.60058230756191,,50.58458179272532,55.31747306524382,,55.65512270310768,,60.49159709335466,54.35095652635055,52.07005803709652,,,,58.03769268296386,1,1612
2016,13,56.23329392405347,,,55.83923347143988,,60.64323371140538,,,,53.65665392445229,54.81093067089517,60.6883071896774,55.61614519727308,52.47451884291562,50.06985295718822,52.73461809323368,52.44352929375699,57.48579003708554,,54.64455160386728,,64.4064306410944,55.04085111352704,56.34088436198046,,,,58.28974100418617,1,1613
2016,14,56.87512387624418,,,57.6393635101349,,57.78150139634187,,,,53.94781501476224,53.34619601296316,58.23977354669879,51.8576372321121,54.50044629047378,46.93817782443809,54.74205518808957,52.60092224593814,56.23268856732803,,56.19075516794896,,64.23815572151342,56.81271525705065,60.87694869596023,,,,56.73874845528903,1,1614
2016,15,59.35482075746035,,,57.09041719099076,,59.60168322419451,,,,51.04685502493704,49.06343874751349,60.38012414000533,52.83086690349158,45.74725938044347,52.77377721630305,60.40695565079681,46.86057380610669,57.35726609613027,,58.77081526242855,,61.24754192034275,51.47151495270569,61.26156510260264,,,,61.81160060095143,1,1615
2016,16,61.88505559174097,,,,,61.6225974789213,,,,61.79532139777901,61.72982063293834,63.36440296137017,53.99524218617356,53.81802519454587,54.0257392039038,61.63351980099097,57.31469734221516,57.68701510033839,,59.5773747881445,,61.50867263465784,56.82913972038673,60.20846495910562,,,,62.78573525211123,1,1616
2016,17,62.06224168169558,,,60.59376210275094,,61.91769973144714,,,,60.34533346979477,60.60329242079163,65.81214011727901,56.32939306420754,56.49081994417168,60.14134921248144,62.7663297092817,52.63359642517744,63.14645890071128,,59.64710443790989,,62.90249526284983,62.32344443021127,56.42522822123023,,,,59.86333129863181,1,1617
